id	username	ssn	card_number	card_type
1	dtidridge0	120-10-8025	3545434513243771	jcb
2	tpaskins1	437-83-9194	30320650633692	diners-club-carte-blanche
3	fhebblewaite2	170-87-0451	56022320976523678	china-unionpay
4	hvonoertzen3	458-12-0951	3563785977048841	jcb
5	jhaldane4	674-05-5974	3583844001514595	jcb
6	dcurgenven5	703-11-6509	3551385678853237	jcb
7	qcordrey6	688-12-8086	3566404216664783	jcb
8	gbrettor7	834-62-3094	3547018157028073	jcb
9	voakes8	705-49-0978	5610265727513400	china-unionpay
10	ogidley9	320-94-5953	5220506658797393	mastercard
11	aballistera	372-69-6768	4917433535773094	visa-electron
12	lkilmartinb	733-99-0859	3553980496291061	jcb
13	ahuggonc	466-08-4203	3585855698836867	jcb
14	jalfwyd	250-27-4116	5597493423179436	diners-club-us-ca
15	fminshalle	243-39-0660	3554414427596918	jcb
16	tjoplinf	875-08-0993	5442512837161263	diners-club-us-ca
17	dgerckeng	515-47-5998	6390197579201640	instapayment
18	trussellh	763-01-6958	4844714081657247	visa-electron
19	esholemi	217-34-2563	6331105156474573	switch
20	dghiottoj	594-34-4745	5602251573780509	bankcard
21	mrubinovitchk	744-04-4601	3573153544044132	jcb
22	dkenawayl	131-41-1859	6380147465159313	instapayment
23	gbassonm	313-97-4447	3576334005176632	jcb
24	fgatlingn	186-93-5826	3544727431320469	jcb
25	tadamieco	311-64-6916	3549821813125532	jcb
26	lmyersp	396-78-8899	6709048576444137	laser
27	twinmanq	449-79-7852	30148340476036	diners-club-carte-blanche
28	gwentworthr	269-37-3381	3529985187430176	jcb
29	ranthess	746-27-7382	5108755443771323	mastercard
30	afreeburnt	667-52-9425	3568148003168056	jcb
31	cbainu	692-19-0746	5602244489033600	bankcard
32	ifannerv	175-02-1092	3560883306788170	jcb
33	barnotw	557-71-4555	3535027002018936	jcb
34	egiddingsx	810-69-7042	3552248081503568	jcb
35	hbushelly	419-55-7917	3566793867703282	jcb
36	swadsworthz	319-37-3008	4175004540284497	visa-electron
37	bbillion10	840-10-3953	3584804946966333	jcb
38	lmcsperron11	833-44-3925	3564926518332174	jcb
39	rtynewell12	404-37-7030	30536264543734	diners-club-carte-blanche
40	rgiovannacci13	424-69-0730	6390648700775829	instapayment
41	etomei14	355-84-8642	3530592380388545	jcb
42	bbakeup15	794-48-1783	3573334236470310	jcb
43	ddruitt16	329-70-4058	5450085386977826	diners-club-us-ca
44	kdeniske17	129-36-1169	5893098687629110891	maestro
45	mtowlson18	122-57-2752	3545091992073358	jcb
46	gcasiroli19	707-47-3406	201747019953242	diners-club-enroute
47	ctalmadge1a	631-92-6574	201844649687025	diners-club-enroute
48	agidden1b	289-07-2938	3545766571721812	jcb
49	scarles1c	436-05-8347	30233565461028	diners-club-carte-blanche
50	lexposito1d	780-50-2405	5100135411942305	mastercard
51	gkielt1e	260-09-5085	3538345901694764	jcb
52	bcauldwell1f	680-60-6275	374361086068354	americanexpress
53	slack1g	137-57-3222	3573643962954879	jcb
54	amore1h	845-35-2211	3532163713449079	jcb
55	dflye1i	481-87-4532	4917551553184116	visa-electron
56	jfosbraey1j	641-94-0507	3536542331388221	jcb
57	kpuckrin1k	672-38-2539	5610405292224781	china-unionpay
58	dhedney1l	611-80-7870	3542346058905320	jcb
59	elaxon1m	230-79-1399	3563713660262370	jcb
60	ckopta1n	256-51-0367	3584600001945497	jcb
61	mpottell1o	830-73-6110	5002352050030438	mastercard
62	mstreader1p	515-73-5309	3538815996583874	jcb
63	aaxel1q	407-77-7901	3528797623858089	jcb
64	sdesremedios1r	792-84-5819	67639116866148259	maestro
65	tiggo1s	848-37-5146	5377810224361622	mastercard
66	jbernath1t	659-94-6993	30319709000572	diners-club-carte-blanche
67	svodden1u	229-44-0984	201506700142121	diners-club-enroute
68	sgrzegorzewicz1v	231-40-8328	6331104246287459	switch
69	rhorsefield1w	288-88-7398	4026916319940739	visa-electron
70	lcavee1x	234-98-1918	4936678317966046	switch
71	egodsil1y	112-50-4141	5456863236932512	diners-club-us-ca
72	rroydon1z	464-14-1076	3585303277519281	jcb
73	egammidge20	515-90-2977	3543568285868588	jcb
74	estquenin21	826-84-4543	5602254160289827	china-unionpay
75	arackham22	150-75-3161	4905577671033277	switch
76	mcarless23	210-38-1708	337941309726882	americanexpress
77	hfettes24	749-48-7059	3572810019284011	jcb
78	jlethby25	733-85-2236	3530498285728571	jcb
79	geverard26	546-62-7631	3556447759997740	jcb
80	gleball27	152-58-7357	3580181550433817	jcb
81	aburlingame28	197-54-4066	201466965091747	diners-club-enroute
82	afitzsymons29	773-36-1820	3531523433153494	jcb
83	lmcfade2a	470-13-5718	4041598633273657	visa
84	tzelland2b	562-92-6005	3548870716652309	jcb
85	sclingan2c	705-37-0266	5335564522406768	mastercard
86	szecchi2d	712-82-8255	3549692180539971	jcb
87	seminson2e	704-56-6991	3531209220909112	jcb
88	rjerosch2f	755-53-3251	3531006487900804	jcb
89	fburbank2g	630-82-6484	3561674186648884	jcb
90	emuzzillo2h	677-30-5893	3556710669380491	jcb
91	emendonca2i	103-04-2473	5439430738295350	diners-club-us-ca
92	eginner2j	583-71-1003	3565882966023873	jcb
